 VARIABLE =  step , error
       18100   1.4322966965730948E-006
       18200   1.4080800833016545E-006
       18300   1.3768826560706403E-006
       18400   1.3403084801364748E-006
       18500   1.3000947315641173E-006
       18600   1.2570799032473957E-006
       18700   1.2154326028547663E-006
       18800   1.1730951647402493E-006
       18900   1.1303772283755342E-006
       19000   1.0927135239903263E-006
       19100   1.0540500659645689E-006
       19200   1.0181568018026920E-006
       19300   9.8411364328797624E-007
       19400   9.5220694796144038E-007
       19500   9.2285725614773731E-007
       19600   8.9319267608932882E-007
       19700   8.6836724609900746E-007
       19800   8.4334423731040168E-007
       19900   8.2414776343444576E-007
       20000   8.0672062292533510E-007
       20100   7.9148188624829215E-007
       20200   7.7926198814214289E-007
       20300   7.7020538892687100E-007
       20400   7.6184009218117803E-007
       20500   7.5814874627384099E-007
       20600   7.5743770327902029E-007
       20700   7.5389487996998364E-007
       20800   7.5494393691325609E-007
       20900   7.5545779672287445E-007
       21000   7.5938113632752007E-007
       21100   7.6459669119471151E-007
       21200   7.7245798072344920E-007
       21300   7.8245851841067620E-007
       21400   7.9019300608480855E-007
       21500   7.9968067424068932E-007
       21600   8.1363835621699496E-007
       21700   8.2874832970571882E-007
       21800   8.4247226061058999E-007
       21900   8.5035397448044445E-007
       22000   8.5815917955600348E-007
       22100   8.5864588623216901E-007
       22200   8.5706615676665615E-007
       22300   8.5335033557739462E-007
       22400   8.4585370089397032E-007
       22500   8.3337039243736726E-007
       22600   8.2037905631770550E-007
       22700   8.0862313670391481E-007
       22800   7.9335094343946497E-007
       22900   7.8540072238890142E-007
       23000   7.7656223668578225E-007
       23100   7.6863772046919227E-007
       23200   7.6010920370879057E-007
       23300   7.5305999829332273E-007
       23400   7.4741283319043926E-007
       23500   7.3604267767768749E-007
       23600   7.2814910635063660E-007
       23700   7.1920777427621106E-007
       23800   7.0962011713090076E-007
       23900   6.9934047954514162E-007
       24000   6.9046698981783784E-007
       24100   6.8023781047358364E-007
       24200   6.6846105057563087E-007
       24300   6.5759556272295306E-007
       24400   6.4289163807032827E-007
       24500   6.2928624789702222E-007
       24600   6.1679550726577710E-007
       24700   6.0196931296886802E-007
       24800   5.9062767340074708E-007
       24900   5.8078081906882989E-007
       25000   5.7142224875219127E-007
       25100   5.6641978928942373E-007
       25200   5.6316932017725345E-007
       25300   5.6188362738164528E-007
       25400   5.5836365613843028E-007
       25500   5.5692682933445470E-007
       25600   5.5629663151548512E-007
       25700   5.5467030895849077E-007
       25800   5.5065454029016662E-007
       25900   5.5275318854590579E-007
       26000   5.5351482211120310E-007
       26100   5.5425200455005461E-007
       26200   5.5402300812921312E-007
       26300   5.5306277343477439E-007
       26400   5.5352769778049064E-007
       26500   5.5499662786322316E-007
       26600   5.5411908511017040E-007
       26700   5.5505250305615634E-007
       26800   5.5384644261839939E-007
       26900   5.5342162094735790E-007
       27000   5.5395644811921893E-007
       27100   5.5367933091261402E-007
       27200   5.5221196962491136E-007
       27300   5.5303271864477316E-007
       27400   5.5293557469623738E-007
       27500   5.5054431147463944E-007
       27600   5.5108472076159438E-007
       27700   5.5154280555911606E-007
       27800   5.5141320427330287E-007
       27900   5.5193411940425236E-007
       28000   5.5133498805178197E-007
       28100   5.5153581192867742E-007
       28200   5.5193955888646857E-007
       28300   5.5210388758428480E-007
       28400   5.4887500252122681E-007
       28500   5.5132035046670440E-007
       28600   5.5009398821825406E-007
       28700   5.5282505317711423E-007
       28800   5.5092128865607236E-007
       28900   5.5187876119010045E-007
       29000   5.5178819569985114E-007
       29100   5.5049322791520370E-007
       29200   5.5311941170996962E-007
       29300   5.5245309146044699E-007
       29400   5.5095453868444078E-007
       29500   5.5381605564560597E-007
       29600   5.5341170746696162E-007
       29700   5.5379069511203961E-007
       29800   5.5357401800700683E-007
       29900   5.5256562832611007E-007
       30000   5.5381942254569435E-007
       30100   5.5329419854526145E-007
       30200   5.5403579989599575E-007
       30300   5.5384479574212820E-007
       30400   5.5411042790232762E-007
       30500   5.5540972650488366E-007
       30600   5.5699761222247632E-007
       30700   5.5727903715359696E-007
       30800   5.5612677700870496E-007
       30900   5.5705176988395711E-007
       31000   5.5552514824246919E-007
       31100   5.5786370529081716E-007
       31200   5.5565015665757144E-007
       31300   5.5711792619819062E-007
       31400   5.5741436565500578E-007
       31500   5.5802663008703267E-007
       31600   5.5926438400153913E-007
       31700   5.5932099370955093E-007
       31800   5.6037839502010871E-007
       31900   5.5950424437828972E-007
       32000   5.5973767432607496E-007
       32100   5.6110970558264407E-007
       32200   5.5927321532530419E-007
       32300   5.6015253119061293E-007
       32400   5.6017094091926653E-007
       32500   5.6128841693680461E-007
       32600   5.5893057097798106E-007
       32700   5.6043607042862010E-007
       32800   5.5937993608105931E-007
       32900   5.5992309326638916E-007
       33000   5.5727322488283122E-007
       33100   5.6107602046471410E-007
       33200   5.6152329862610639E-007
       33300   5.6147257781645663E-007
       33400   5.6227354338883805E-007
       33500   5.6092833949700409E-007
       33600   5.6238416639924841E-007
       33700   5.6038320185769011E-007
       33800   5.6436502622527627E-007
       33900   5.5970800482612768E-007
       34000   5.6250840729502562E-007
       34100   5.6190981088722348E-007
       34200   5.6278754095645197E-007
       34300   5.6196866884560372E-007
       34400   5.6370940371035393E-007
       34500   5.6260557932013900E-007
       34600   5.6395637629984443E-007
       34700   5.6146713254851242E-007
       34800   5.6421344935223019E-007
       34900   5.6242799602770870E-007
       35000   5.6313165288084841E-007
       35100   5.6279096155574072E-007
       35200   5.6178569403968884E-007
       35300   5.6256318735633395E-007
       35400   5.6439431906718156E-007
       35500   5.6275176156220082E-007
       35600   5.6096582042092064E-007
       35700   5.6357781102575496E-007
       35800   5.6239823345687533E-007
       35900   5.6144646375465619E-007
       36000   5.6093801062892379E-007
       36100   5.6187625735317751E-007
       36200   5.6224300792185543E-007
       36300   5.6099273656649142E-007
       36400   5.6273443940349666E-007
       36500   5.6271378334416796E-007
       36600   5.6167836339932958E-007
       36700   5.6295739992310857E-007
       36800   5.6248556169694405E-007
       36900   5.6135485432411574E-007
       37000   5.6217439631171085E-007
       37100   5.6087403437518418E-007
       37200   5.6074381602699388E-007
       37300   5.6149743629583013E-007
       37400   5.6277238197316209E-007
       37500   5.6018520917602231E-007
       37600   5.6286061935126638E-007
       37700   5.6139808260289525E-007
       37800   5.6017704847748625E-007
       37900   5.6206259988975416E-007
       38000   5.5949398483045798E-007
       38100   5.6183756379667933E-007
       38200   5.6036484849330292E-007
       38300   5.5894041389715826E-007
       38400   5.6280288120557077E-007
       38500   5.6093313996759383E-007
       38600   5.6112860655501095E-007
       38700   5.6092103115663191E-007
       38800   5.6029140515396837E-007
       38900   5.6272135081795523E-007
       39000   5.6172412782757291E-007
       39100   5.6126589474191476E-007
       39200   5.6160132337509200E-007
       39300   5.6030731749121847E-007
       39400   5.6299206005000178E-007
       39500   5.5909936482337933E-007
       39600   5.6161751378570019E-007
       39700   5.6318390974576119E-007
       39800   5.6167574129239180E-007
       39900   5.6281930945056858E-007
       40000   5.6130274414815700E-007
       40100   5.6295972380437061E-007
       40200   5.6317168463423450E-007
       40300   5.6293638686163485E-007
       40400   5.6494602021493297E-007
       40500   5.6318778458798582E-007
       40600   5.6489305477421764E-007
       40700   5.6417725378619428E-007
       40800   5.6297197240155897E-007
       40900   5.6165330465040809E-007
       41000   5.6302519781060394E-007
       41100   5.6181554042764185E-007
       41200   5.6497936148257095E-007
       41300   5.6431668293929706E-007
       41400   5.6410960349296410E-007
       41500   5.6220173018932067E-007
       41600   5.6500748732477566E-007
       41700   5.6177281515443160E-007
       41800   5.6644154199474905E-007
       41900   5.6455534782948388E-007
       42000   5.6461775531535173E-007
       42100   5.6553300872408264E-007
       42200   5.6678599196632835E-007
       42300   5.6762389278676447E-007
       42400   5.6754061695831129E-007
       42500   5.6715327806107200E-007
       42600   5.6880789284486899E-007
