 VARIABLE = X , Y , U , V
 ZONE , I=         101 , J=         101
   0.00000000      0.400000006      -3.1522801361647800E-009   2.7086507638204223E-005
   0.00000000      0.409999996       2.7006692982045885E-010   2.7427456107677570E-005
   0.00000000      0.419999987      -1.9094671693711703E-009   2.7560759107264261E-005
   0.00000000      0.430000007       4.1625540469019322E-009   2.7468831431079524E-005
   0.00000000      0.439999998       2.4404966758812396E-010   2.7058550640231905E-005
   0.00000000      0.449999988       2.3973546281556061E-011   2.6382966755420522E-005
   0.00000000      0.460000008       4.0851823786000874E-009   2.5528633856407737E-005
   0.00000000      0.469999999      -1.1673138262493512E-009   2.4536945165369737E-005
   0.00000000      0.479999989       1.2275728583619663E-009   2.3333406695062991E-005
   0.00000000      0.490000010      -2.7700661764489836E-009   2.2011819299170021E-005
   0.00000000      0.500000000       2.7163379262247651E-010   2.0521619605006078E-005
   0.00000000      0.509999990      -4.2963302950694190E-009   1.8855188405480163E-005
   0.00000000      0.519999981      -1.2760647307641809E-009   1.7223676504693814E-005
   0.00000000      0.529999971       2.2287261286468487E-009   1.5535868080713269E-005
   0.00000000      0.540000021      -3.5975885184738011E-009   1.3768182026356225E-005
   0.00000000      0.550000012       1.6413850611195244E-009   1.1987445342631373E-005
   0.00000000      0.560000002       7.8147233894250591E-010   1.0199707759359295E-005
   0.00000000      0.569999993       3.5077541200427162E-009   8.4676636475151402E-006
   0.00000000      0.579999983      -2.4452229400195171E-009   6.7739139160730182E-006
   0.00000000      0.589999974       2.7160996776051334E-009   5.1524915176851106E-006
   0.00000000      0.600000024      -1.3036804230469283E-009   3.6033004776452572E-006
   0.00000000      0.610000014       2.4887683794287223E-009   2.1501862664112422E-006
   0.00000000      0.620000005       2.9032922792826781E-009   7.6167017565827448E-007
   0.00000000      0.629999995       8.9952214906803109E-010  -5.0937859367289187E-007
   0.00000000      0.639999986       1.0994260579781719E-009  -1.6582945375156426E-006
   0.00000000      0.649999976       4.1269064052374217E-009  -2.7023972073970614E-006
   0.00000000      0.660000026       1.9103614962419821E-009  -3.6503111030769205E-006
   0.00000000      0.670000017      -2.4772208859815101E-009  -4.4475791200413454E-006
   0.00000000      0.680000007       3.2257368731557333E-009  -5.0990404451990230E-006
   0.00000000      0.689999998      -7.9443211253449557E-010  -5.7036469496219457E-006
   0.00000000      0.699999988       2.1079457571776255E-009  -6.1648505801004309E-006
   0.00000000      0.709999979       2.8372233833421112E-009  -6.5088136209770560E-006
   0.00000000      0.720000029       3.8023708519076420E-010  -6.8143229412250205E-006
   0.00000000      0.730000019       1.1841954915853039E-009  -7.0265884487067069E-006
   0.00000000      0.740000010      -1.3434857875898510E-009  -7.1631474824112575E-006
   0.00000000      0.750000000      -4.5966021480536096E-009  -7.2117621542525792E-006
   0.00000000      0.759999990       7.4991308834428831E-011  -7.1848013992932478E-006
   0.00000000      0.769999981      -1.5122787782316823E-009  -7.1181832221369714E-006
   0.00000000      0.779999971       9.6892962328670460E-010  -7.0352227795435746E-006
   0.00000000      0.790000021      -1.5646363072504347E-009  -6.9361200154382318E-006
   0.00000000      0.800000012       2.2316845650218246E-009  -6.8229387854608756E-006
   0.00000000      0.810000002      -2.2515660107725575E-009  -6.6996266606662777E-006
   0.00000000      0.819999993       7.8897999904145597E-010  -6.6153848769417820E-006
   0.00000000      0.829999983       2.6636193613726434E-009  -6.6765560757986019E-006
   0.00000000      0.839999974      -1.4914978025800125E-009  -6.7984909466049909E-006
   0.00000000      0.850000024       3.6547031472263654E-009  -7.1727768539930987E-006
   0.00000000      0.860000014      -1.1387936406761131E-009  -7.6688413660290800E-006
   0.00000000      0.870000005      -3.5636963193523613E-010  -8.7437658760985086E-006
   0.00000000      0.879999995      -3.4469863853918828E-009  -1.1195112678890033E-005
   0.00000000      0.889999986       4.7931805408471017E-009  -1.1759784858295931E-005
   0.00000000      0.899999976       1.4745809725716465E-009  -2.1223668305732792E-005
   0.00000000      0.910000026      -1.2261386590742231E-009  -2.4533719277067219E-005
   0.00000000      0.920000017       1.2901851695785753E-009  -3.3484184171806251E-005
   0.00000000      0.930000007       1.2206451028714809E-010  -1.1488049904302775E-004
   0.00000000      0.939999998      -1.9744835854618171E-009   3.5981510104671509E-005
   0.00000000      0.949999988       7.5567910384519906E-010  -2.6387704317549745E-004
   0.00000000      0.959999979       1.8693573963467629E-009  -4.4198115382213389E-004
   0.00000000      0.970000029      -5.2279307939665124E-010  -3.4760083939377036E-004
