 VARIABLE = X , Y , U , V
 ZONE , I=         121 , J=         121
   0.00000000       57.0000000       2.5077398483533541E-009   3.1773942400536116E-005
   0.00000000       58.0000000      -3.1704381055864134E-009   3.1616309060740382E-005
   0.00000000       59.0000000      -1.4340839401919636E-009   3.1328325945589701E-005
   0.00000000       60.0000000       3.5730441457627383E-009   3.0925113472035451E-005
   0.00000000       61.0000000      -4.7143876984887472E-009   3.0417711522872658E-005
   0.00000000       62.0000000      -2.2815099748259226E-009   2.9772901581238830E-005
   0.00000000       63.0000000       2.0694822845227022E-009   2.9014144335140560E-005
   0.00000000       64.0000000       1.5693227803315134E-009   2.8179385190081368E-005
   0.00000000       65.0000000       1.6220653714833528E-009   2.7252196312271231E-005
   0.00000000       66.0000000      -4.6163022458241492E-009   2.6257758614627452E-005
   0.00000000       67.0000000       3.5033426092630791E-009   2.5179082322032526E-005
   0.00000000       68.0000000       5.1926482530647250E-009   2.4036954023850508E-005
   0.00000000       69.0000000      -7.6310384106224014E-010   2.2814227207931064E-005
   0.00000000       70.0000000      -1.5715801647341562E-009   2.1571518714315798E-005
   0.00000000       71.0000000      -3.3477783054853557E-009   2.0287417977452089E-005
   0.00000000       72.0000000       2.5383762062865293E-009   1.8971653485443562E-005
   0.00000000       73.0000000      -6.2760441693767411E-010   1.7651958349223080E-005
   0.00000000       74.0000000       3.6574228768365474E-009   1.6324689975630726E-005
   0.00000000       75.0000000       2.1290097798252262E-010   1.5028901627014317E-005
   0.00000000       76.0000000      -6.1987378657234312E-010   1.3732229628109321E-005
   0.00000000       77.0000000      -9.0720653283084590E-010   1.2420229473066860E-005
   0.00000000       78.0000000       1.6433425924358070E-009   1.1136516310636143E-005
   0.00000000       79.0000000      -4.0649241354835669E-009   9.8977015191571892E-006
   0.00000000       80.0000000       2.5035765798326442E-009   8.7236531206542705E-006
   0.00000000       81.0000000       2.6279276144974430E-009   7.5780254778243114E-006
   0.00000000       82.0000000      -1.4777143615687588E-009   6.5191994004647658E-006
   0.00000000       83.0000000      -3.3694247488784320E-009   5.5278899184858472E-006
   0.00000000       84.0000000      -1.5572141386962249E-010   4.5663280954619402E-006
   0.00000000       85.0000000       3.0627385683106728E-009   3.7240806543453738E-006
   0.00000000       86.0000000      -3.8340909850555180E-009   2.9378319729252031E-006
   0.00000000       87.0000000       4.2220441486712835E-010   2.2138581616335436E-006
   0.00000000       88.0000000      -8.0294627717637966E-011   1.5662407221008988E-006
   0.00000000       89.0000000      -3.7561698002718126E-009   1.0521505671170765E-006
   0.00000000       90.0000000      -1.6457646058633070E-009   6.2223803821411645E-007
   0.00000000       91.0000000      -1.8364571463907647E-009   2.5888699622327939E-007
   0.00000000       92.0000000      -5.6007942851825373E-010   5.5642418210173733E-008
